Матриця рангів, присвоєних кожним експертом

Поч. номер	Назва об'єкта	Expert_1	Expert_2	Expert_3
0	        Яблуко	         7	        3	     Дк24
1	        Банан	         4	        1	     Дк21
2	        Апельсин	     1	        5	     Дк22
3	        Груша	         видалено	9	     Дк28
4	        Ківі	         видалено	2	     Дк23
5	        Манго	         2	        4	     Дк2видалено
6	        Ананас	         3	        6	     Дк26
7	        Полуниця	     5	        7	     Дк27
8	        Виноград	     8	        10	     Дк2видалено
9	        Персик	         9	        11	     Дк29
10	        Слива	         10	        видалено	10
11	        Абрикос	         6	        8	     Дк25
